Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
BGCA,"May 10, 2013",1,0.040391110723549374
NUVA,"December 7, 2016",0,0.10999039612234766
ALNY,"March 23, 2017",1,0.1474439340250529
RTEC,"November 4, 2013",0,-0.0537664241556599
AAPL,"March 17, 2015",0,-0.0169032685911591
CSCO,"October 2, 2013",0,-0.0029919411011818144
V,"August 13, 2014",1,-0.053150872191076316
HON,"February 5, 2013",0,0.033066748138009305
TXN,"January 8, 2015",1,-0.043981397136687736
ADI,"August 13, 2015",0,-0.05186223502054143
ACOR,"March 18, 2016",1,-0.28777970532327063
LLNW,"February 15, 2017",0,0.07968816060369938
XLNX,"September 17, 2015",0,0.009498558607035405
MSFT,"June 16, 2015",0,-0.05368093179615792
MSFT,"April 1, 2016",0,0.04215816345477715
MSFT,"April 1, 2016",1,0.04215816345477715
AXP,"February 12, 2013",1,0.012011203264217327
CAMT,"November 18, 2013",0,0.10064352577968742
HPQ,"November 16, 2015",0,0.00028469993964512497
AMZN,"February 10, 2017",1,0.027575482955544135
AAPL,"January 8, 2016",0,-0.20360725408970792
NTGR,"March 16, 2017",0,-0.021247949489849875
JCOM,"March 29, 2017",0,0.03784033932577138
FDX,"May 9, 2017",1,-0.02347815366421135
LLNW,"July 9, 2015",1,0.002453988961566688
JAKK,"June 11, 2014",1,-0.11920288539086857
AAPL,"November 8, 2016",1,-0.044699315982477006
XLNX,"February 1, 2016",1,0.0495463747795194
AKRX,"March 17, 2017",0,0.0375043954584543
AVID,"March 1, 2016",1,0.0746108637911752
MDCO,"April 6, 2017",0,-0.048664172693197866
MSFT,"February 17, 2016",1,0.009113439698148002
NVDA,"April 25, 2016",1,0.050611593799526254
NUVA,"February 7, 2017",0,0.061657994917942785
NOK,"November 26, 2014",1,-0.03746661409878263
INTU,"May 10, 2013",1,-0.09577238321471954
ILMN,"July 17, 2015",1,0.06945401447775572
BSX,"February 12, 2013",1,0.18205946794433464
CTXS,"July 15, 2015",1,0.012348491390722265
LPL,"September 14, 2015",1,0.09502693380328082
RPRX,"January 7, 2016",1,-0.1683353148192146
NTRA,"June 12, 2015",1,ERROR
AAPL,"December 3, 2015",0,-0.04840992838806356
CROX,"February 7, 2017",0,-0.027518028893892717
PLT,"July 31, 2013",0,0.008810649003700283
F,"March 27, 2017",1,-0.07059802218674349
NATI,"August 11, 2014",1,0.023529003985894997
CTXS,"October 14, 2014",0,-0.10172288754406555
SBUX,"January 5, 2015",1,0.011982363087722606
AAPL,"February 14, 2017",0,0.11739375675878906
HPQ,"March 16, 2017",0,0.09755650677536422
ST,"April 4, 2017",0,0.045761965808503176
MMM,"August 6, 2013",0,0.0503475412958306
LLNW,"February 1, 2016",1,-0.2342812957246656
NTGR,"December 28, 2016",1,0.04673747785168976
TWTR,"February 26, 2014",1,-0.05228445151865566
TGT,"February 10, 2016",1,-0.03598925199681623
WMT,"July 30, 2015",0,0.01816194857038647
MMM,"July 9, 2015",1,-0.027577593248330215
WILN,"August 1, 2016",1,-0.32784788649390484
BBY,"January 15, 2014",1,-0.08928034445366298
INTC,"June 23, 2015",1,-0.036223819957912254
IBM,"May 10, 2013",1,-0.041852882723631406
AMZN,"January 10, 2014",1,0.03354822366444811
SHPG,"October 13, 2016",1,-0.028809592965147332
EA,"September 13, 2016",0,0.04309754065633162
SQ,"October 16, 2015",1,ERROR
SNPS,"February 10, 2016",0,-0.027214226465289967
SNPS,"February 10, 2016",1,-0.027214226465289967
SNPS,"March 12, 2013",1,0.03288350560096842
SBH,"April 25, 2016",1,-0.050814791586873895
YHOO,"February 26, 2014",1,0.016506828593657305
AVP,"February 12, 2015",0,0.0750049313893679
FB,"May 10, 2013",1,-0.035601252751849784
NFLX,"February 26, 2014",1,0.17255550987969956
ITGR,"February 9, 2017",1,0.038734569971412815
MSFT,"December 16, 2015",0,0.032964994672533623
F,"August 12, 2015",0,0.0027108531851180485
AMD,"January 14, 2014",1,0.11265094892050549
CLCT,"March 11, 2016",1,0.10868664069459674
AVX,"February 9, 2017",1,-0.019950818101106577
ADSK,"March 15, 2017",1,0.01915570613954133
